Criteria,Age,Noise level,Time exposure,Earplugs
89,35,82,300,Negative
166,35,82,300,Negative
97,63,82,420,Recommended
160,63,82,420,Recommended
87,65,82,300,Recommended
142,65,82,300,Recommended
311,78,82,146,Recommended
47,17,83,60,Negative
163,17,83,60,Negative
203,30,83,180,Negative
94,34,83,360,Negative
175,34,83,360,Negative
69,37,83,120,Negative
194,37,83,120,Negative
285,58,83,152,Negative
93,64,83,360,Recommended
151,64,83,360,Recommended
45,18,84,60,Negative
154,18,84,60,Negative
358,22,84,5,Negative
68,31,84,120,Negative
189,31,84,120,Negative
43,19,85,60,Negative
145,19,85,60,Negative
56,23,85,120,Negative
62,23,85,120,Negative
101,23,85,120,Negative
128,23,85,120,Negative
199,25,85,90,Negative
80,45,85,240,Recommended
114,45,85,240,Recommended
333,22,86,110,Negative
251,53,86,251,Recommended
385,11,87,12,Negative
81,21,87,240,Recommended
138,21,87,240,Recommended
200,35,87,110,Recommended
52,43,87,60,Negative
183,43,87,60,Negative
379,67,87,11.5,Negative
29,26,88,0.5,Negative
168,26,88,20,Negative
202,27,88,80,Negative
27,29,88,175,Recommended
150,29,88,140,Recommended
210,33,88,252,Required
224,33,88,287,Required
231,33,88,245,Required
390,87,88,59.5,Required
30,25,89,0.9,Negative
177,25,89,20,Negative
28,27,89,85,Negative
159,27,89,162,Recommended
126,50,89,125,Recommended
214,70,89,125,Required
235,70,89,130,Required
275,98,89,50,Required
9,22,90,0.7,Negative
16,22,90,5,Negative
119,22,90,22.5,Negative
165,22,90,30,Negative
112,25,90,123,Recommended
57,33,90,85,Recommended
63,33,90,80,Recommended
109,33,90,90,Recommended
136,33,90,87,Recommended
6,35,90,125,Recommended
11,35,90,120,Recommended
102,35,90,105,Recommended
129,35,90,100,Recommended
307,41,90,90,Recommended
61,50,90,180,Required
262,59,90,170,Required
72,75,90,90,Required
117,75,90,90,Required
283,19,91,138,Required
17,21,91,45,Negative
174,21,91,50,Negative
5,22,91,28,Negative
190,22,91,50,Negative
15,23,91,0.9,Negative
156,23,91,30,Negative
36,25,91,65,Recommended
31,23,92,75,Recommended
184,23,92,90,Recommended
14,24,92,30,Negative
147,24,92,2,Negative
95,29,92,125,Required
180,29,92,105,Required
201,40,92,30,Negative
209,59,92,20,Negative
230,59,92,65,Recommended
90,30,93,85,Required
171,30,93.5,1.2,Negative
75,33,93.2,0.2,Negative
144,33,93,180,Required
365,54,93,3,Negative
253,79,93,18,Recommended
13,28,94,30,Recommended
141,28,94,30,Recommended
84,31,94,240,Required
162,31,94,240,Required
222,63,94,288,Required
21,18,95,28,Recommended
25,18,95,30,Recommended
108,18,95,35.8,Recommended
135,18,95,40,Recommended
23,21,95,45,Recommended
125,21,95,43.6,Recommended
2,29,95,8,Negative
4,29,95,28,Recommended
105,29,95,25,Recommended
132,29,95,30,Recommended
83,32,95,0.8,Negative
153,32,95,80,Required
18,35,95,30,Recommended
186,35,95,65,Required
3,46,95,28.7,Recommended
122,46,95,15,Negative
59,55,95,55,Required
115,55,95,12,Negative
314,75,95,30,Required
344,56,96,5,Negative
92,39,96,50,Required
179,39,96,35,Recommended
26,36,97,45,Required
139,36,97,35,Required
86,40,97,22,Recommended
170,40,97,85,Required
66,42,97,13,Recommended
152,42,97,6,Negative
55,49,97,2,Negative
197,49,97,37.5,Required
270,67,97,17.5,Required
77,41,98,27.5,Required
161,41,98,34.8,Required
19,53,98,14,Recommended
193,53,98,3,Negative
248,100,98,5.75,Required
42,43,99,24,Required
143,43,99,16,Recommended
53,51,99,3,Negative
188,51,99,32,Required
20,19,100,18,Required
24,19,100,4,Recommended
103,19,100,31,Required
130,19,100,11,Recommended
22,25,100,2,Negative
120,25,100,25,Required
33,30,100,7.5,Recommended
195,30,100,22.3,Required
8,35,100,19,Required
113,35,100,12,Recommended
35,41,100,26,Required
41,41,100,9,Recommended
107,41,100,1.75,Negative
134,41,100,60,Required
65,50,100,120,Required
146,50,100,120,Required
39,56,100,12,Recommended
124,56,100,13.5,Recommended
67,29,101,15,Required
185,29,101,18,Required
76,49,101,2.5,Negative
155,49,101,13,Required
336,54,101,10,Recommended
376,90,101,4,Required
394,45,102,6,Recommended
85,48,102,5.5,Recommended
164,48,102,1.4,Negative
220,79,102,6,Required
240,45,102,12,Required
256,95,102,2,Required
32,45,103,6.5,Recommended
191,45,103,8,Required
91,47,103,1.2,Negative
173,47,103,2,Recommended
340,22,104,7,Required
96,46,104,3.4,Recommended
182,46,104,4,Recommended
371,22,105,6,Required
7,26,105,7,Required
12,26,105,1,Negative
110,26,105,6.75,Required
137,26,105,3,Recommended
10,35,105,4,Recommended
127,35,105,3.78,Recommended
38,38,105,6,Required
121,38,105,6.7,Required
44,52,105,8,Required
149,52,105,3,Recommended
64,53,105,1.7,Recommended
140,53,105,1.1,Negative
34,62,105,6,Required
40,62,105,5.5,Required
104,62,105,3.5,Recommended
131,65,105,4.75,Required
37,65,105,4.95,Required
116,65,105,1.75,Recommended
225,30,106,4,Required
364,34,106,3.25,Recommended
46,51,106,0.7,Negative
158,51,106,4.5,Required
204,91,106,1,Required
292,78,107,1.7,Required
48,50,107,2.5,Recommended
167,50,107,0.2,Negative
343,55,107,0.92,Recommended
354,45,108,3,Required
50,49,108,2.75,Required
176,49,108,2.25,Recommended
387,54,108,0.4,Negative
370,76,108,1.75,Required
391,87,109,0.5,Required
382,56,109,2,Required
378,52,110,1.6,Required
322,81,110,1,Required
398,97,110,0.2,Required
338,61,111,1.3,Required
374,78,111,0.5,Recommended
252,32,112,117,Required
280,38,112,11,Required
362,87,112,0.2,Required
319,2,113,9,Required
384,23,113,0.65,Required
361,48,113,0.7,Required
348,6,114,9.25,Required
360,30,114,0.5,Required
318,6,116,6,Required
305,50,116,5,Required
309,53,116,0.6,Required
331,78,116,6.25,Required
330,86,117,2.75,Required
279,27,119,8,Required
373,78,119,0.04,Required
320,99,119,1.25,Required
1,45,120,0.1,Required
100,45,120,0.1,Required
286,77,120,19.5,Required
392,80,120,0.05,Required
308,36,121,0.08,Required
393,63,121,0.09,Required
325,33,122,0.08,Required
284,10,123,0.1,Required
296,44,123,3,Required
372,67,123,0.0375,Required
359,92,123,0.02,Required
290,21,124,0.4,Required
395,38,124,0.053,Required
324,36,125,0.04,Required
342,36,125,0.06,Required
267,50,125,5,Required
268,60,126,4,Required
396,75,126,0.02,Required
329,27,127,0.03,Required
294,76,127,0.5,Required
257,91,127,49,Required
301,3,128,3,Required
217,64,128,174,Required
238,66,128,87,Required
304,78,128,0.5,Required
215,24,129,89,Required
356,34,129,0.06,Required
258,42,129,2,Required
335,16,130,0.01,Required
352,55,130,0.04,Required
278,59,130,0.05,Required
263,94,130,0.075,Required
355,6,131,0.015,Required
208,39,136,4,Required
229,39,136,1,Required
245,69,141,0.45,Required
242,21,142,0.75,Required
315,43,142,0.02,Required
282,38,145,0.6,Required
287,63,146,0.3,Required
295,72,147,0.025,Required
273,8,149,0.035,Required
221,95,149,0.15,Required
368,56,161,3,Required
367,89,187,1.25,Required
